runs_left,balls_left,wickets_left,total_runs_x,cur_run_rate,req_run_rate,result
208,119,10,208,0.0,10.487394957983192,1
208,118,10,208,0.0,10.576271186440678,1
204,117,10,208,8.0,10.461538461538462,1
204,116,10,208,6.0,10.551724137931034,1
202,115,10,208,7.2,10.539130434782608,1
202,114,10,208,6.0,10.63157894736842,1
201,113,10,208,6.0,10.672566371681416,1
200,113,10,208,6.857142857142857,10.619469026548671,1
196,112,10,208,9.0,10.5,1
195,111,10,208,8.666666666666666,10.54054054054054,1
189,110,10,208,11.4,10.309090909090909,1
189,109,9,208,10.363636363636363,10.403669724770642,1
189,108,9,208,9.5,10.5,1
185,107,9,208,10.615384615384617,10.373831775700934,1
184,107,9,208,11.076923076923077,10.317757009345794,1
184,106,9,208,10.285714285714286,10.41509433962264,1
184,105,9,208,9.6,10.514285714285714,1
181,104,9,208,10.125,10.442307692307692,1
180,103,9,208,9.882352941176473,10.485436893203884,1
179,102,9,208,9.666666666666666,10.529411764705882,1
179,101,9,208,9.157894736842104,10.633663366336634,1
178,100,9,208,9.0,10.68,1
178,99,9,208,8.571428571428571,10.787878787878787,1
177,98,9,208,8.454545454545455,10.83673469387755,1
176,97,9,208,8.347826086956522,10.88659793814433,1
175,96,9,208,8.25,10.9375,1
174,95,9,208,8.16,10.989473684210529,1
173,94,9,208,8.076923076923077,11.04255319148936,1
172,93,9,208,8.0,11.096774193548388,1
170,92,9,208,8.142857142857142,11.08695652173913,1
166,91,9,208,8.689655172413794,10.945054945054943,1
166,90,9,208,8.4,11.066666666666666,1
162,89,9,208,8.903225806451612,10.92134831460674,1
158,88,9,208,9.375,10.772727272727272,1
158,87,9,208,9.090909090909092,10.89655172413793,1
154,86,9,208,9.529411764705882,10.744186046511627,1
150,85,9,208,9.942857142857145,10.588235294117649,1
149,84,9,208,9.833333333333334,10.642857142857142,1
148,83,9,208,9.72972972972973,10.698795180722891,1
148,82,9,208,9.473684210526317,10.829268292682928,1
147,81,9,208,9.384615384615383,10.88888888888889,1
146,80,9,208,9.3,10.95,1
145,79,9,208,9.21951219512195,11.0126582278481,1
144,78,9,208,9.142857142857142,11.076923076923077,1
143,77,9,208,9.069767441860463,11.142857142857142,1
142,76,9,208,9.0,11.210526315789474,1
141,75,9,208,8.933333333333334,11.28,1
135,74,9,208,9.521739130434783,10.945945945945946,1
134,73,9,208,9.4468085106383,11.013698630136986,1
133,72,9,208,9.375,11.083333333333334,1
131,71,9,208,9.428571428571429,11.070422535211268,1
130,70,9,208,9.36,11.142857142857142,1
129,69,9,208,9.294117647058824,11.217391304347826,1
128,68,9,208,9.23076923076923,11.294117647058824,1
126,67,9,208,9.283018867924527,11.28358208955224,1
124,66,9,208,9.333333333333334,11.272727272727272,1
124,65,9,208,9.163636363636364,11.446153846153846,1
123,64,9,208,9.107142857142858,11.53125,1
122,63,9,208,9.052631578947368,11.61904761904762,1
121,62,9,208,9.0,11.709677419354838,1
120,61,9,208,8.94915254237288,11.80327868852459,1
